"wage","educ","exper","female","married","industry"
3.24000000953674,12,22,1,1,"services"
3,11,2,0,0,"trade"
8.75,16,9,0,1,"profserv"
11.25,18,15,0,0,"trade"
3.59999990463257,12,26,1,0,"trade"
6.25,16,8,1,0,"trade"
8.13000011444092,13,3,1,0,"profserv"
17.3299999237061,16,14,0,1,"profserv"
10.6300001144409,13,16,1,0,"profserv"
4.5,12,36,1,1,"profserv"
6.88000011444092,12,11,1,0,"profserv"
0.529999971389771,12,3,1,0,"services"
6,11,37,1,0,"services"
9.5600004196167,16,3,0,1,"ndurman"
7.78000020980835,16,11,0,1,"trcommpu"
13,14,23,0,1,"profserv"
4.5,14,2,1,0,"trade"
4.67999982833862,12,3,1,0,"services"
4.26999998092651,16,22,1,1,"trade"
6.15000009536743,12,15,1,1,"services"
3.50999999046326,4,39,0,1,"trade"
3,14,3,1,1,"profserv"
6.25,12,11,1,0,"profserv"
7.80999994277954,12,3,1,1,"services"
10,12,20,1,1,"profserv"
4.5,14,16,1,1,"profserv"
4,11,45,1,1,"profserv"
13.6999998092651,15,20,0,1,"profserv"
1.66999995708466,10,1,0,0,"services"
2.9300000667572,12,36,1,1,"trade"
3.65000009536743,14,9,0,0,"trade"
2.90000009536743,12,15,1,1,"services"
1.62999999523163,12,18,1,0,"services"
8.60000038146973,16,3,1,0,"profserv"
5,12,15,0,1,"trade"
3.25,15,3,0,0,"trade"
3.40000009536743,16,1,1,0,"trade"
10,8,13,0,0,"trade"
21.6299991607666,18,8,1,0,"profserv"
4.38000011444092,16,7,0,0,"trade"
11.710000038147,13,40,1,0,"ndurman"
12.3900003433228,14,42,0,0,"profserv"
6.25,10,36,0,0,"trade"
3.71000003814697,10,13,1,0,"profserv"
7.78000020980835,14,9,0,0,"profserv"
6.25,16,7,1,1,"profserv"
10,12,25,0,1,"profserv"
5.71000003814697,16,10,0,1,"profserv"
2,12,3,1,0,"services"
5.71000003814697,16,3,1,0,"trade"
13.0799999237061,17,17,0,1,"profserv"
2.91000008583069,12,20,1,1,"services"
3.75,12,7,1,1,"construc"
11.8999996185303,13,24,0,1,"profserv"
4,12,28,1,1,"profserv"
3.09999990463257,12,2,1,0,"trade"
7.1399998664856,18,13,0,1,"profserv"
4.65000009536743,16,3,0,0,"ndurman"
2.90000009536743,10,4,1,0,"profserv"
3.5,12,6,1,0,"profserv"
3.25999999046326,12,13,1,1,"trade"
3.25,12,14,1,1,"profserv"
8,12,14,1,0,"profserv"
5.90999984741211,12,14,0,1,"trcommpu"
11.7600002288818,14,40,0,1,"trcommpu"
3,12,1,1,0,"trade"
4.80999994277954,12,2,1,0,"profserv"
6.5,12,4,1,0,"profserv"
4,9,19,1,1,"services"
3.5,13,1,0,0,"ndurman"
13.1599998474121,12,34,0,1,"trade"
4.25,14,5,0,1,"trade"
3.5,12,3,0,0,"trade"
5.13000011444092,15,6,1,0,"ndurman"
3.75,12,14,1,1,"services"
4.5,12,35,1,1,"profserv"
7.63000011444092,12,8,1,0,"trcommpu"
6.84999990463257,15,11,1,1,"profserv"
13.3299999237061,12,14,0,1,"trade"
2.52999997138977,12,46,1,0,"trade"
9.80000019073486,17,7,0,1,"services"
3.36999988555908,11,45,0,1,"trade"
5.40000009536743,12,6,0,1,"services"
6.1100001335144,14,15,0,1,"trade"
4.19999980926514,14,33,1,1,"profserv"
3.75,10,15,0,0,"trade"
3.5,14,5,1,1,"profserv"
3.64000010490417,12,7,0,0,"profserv"
3.79999995231628,15,6,0,1,"trade"
3,8,33,1,1,"ndurman"
5,16,2,1,1,"trade"
4.63000011444092,14,4,1,1,"profserv"
3,15,1,0,0,"trade"
3.91000008583069,18,17,0,1,"profserv"
6.42999982833862,16,17,1,1,"profserv"
1.5,8,31,0,0,"trade"
2.90000009536743,10,23,1,0,"profserv"
5,11,13,0,1,"trade"
8.92000007629395,18,3,0,1,"trade"
5,15,15,0,0,"trade"
3.51999998092651,12,48,0,1,"profserv"
2.90000009536743,11,6,1,0,"ndurman"
4.5,12,12,0,1,"trade"
2.25,12,5,1,0,"trade"
5,14,19,0,1,"trade"
3.75,2,39,0,1,"profserv"
10,14,28,1,1,"ndurman"
10.9499998092651,16,23,0,1,"ndurman"
7.90000009536743,12,2,0,0,"construc"
5.84000015258789,13,5,1,1,"profserv"
3.20000004768372,15,2,1,0,"trcommpu"
2,10,3,1,0,"trade"
4.5,12,31,1,1,"profserv"
11.5500001907349,16,20,1,1,"construc"
2.14000010490417,13,34,1,1,"services"
5.51999998092651,13,31,0,0,"trade"
6.5,12,8,1,1,"trcommpu"
3.09999990463257,12,2,1,0,"ndurman"
6.63000011444092,16,3,0,1,"profserv"
10,16,3,0,1,"trcommpu"
2.30999994277954,9,4,1,0,"trade"
6.88000011444092,18,4,0,0,"profserv"
2.82999992370605,10,1,0,0,"trade"
3.13000011444092,10,1,1,0,"trade"
8,13,28,0,1,"services"
4.5,12,47,1,1,"trade"
8.64999961853027,18,13,1,0,"ndurman"
2,13,2,1,0,"services"
4.75,12,48,1,1,"profserv"
6.25,13,6,1,1,"profserv"
6,13,8,0,1,"profserv"
15.3800001144409,13,25,0,1,"profserv"
14.5799999237061,18,13,1,0,"profserv"
5.25,12,19,1,1,"trcommpu"
2.17000007629395,13,1,1,0,"ndurman"
6.21999979019165,12,19,1,1,"profserv"
9,12,11,1,1,"profserv"
10,14,43,0,1,"profserv"
5.76999998092651,10,44,0,1,"profserv"
4,12,22,1,1,"ndurman"
8.75,16,3,0,1,"ndurman"
6.53000020980835,16,3,1,0,"profserv"
7.59999990463257,12,41,1,0,"profserv"
5,14,5,0,0,"trade"
5,12,14,1,0,"profserv"
21.8600006103516,12,24,0,1,"trade"
8.64000034332275,12,28,0,1,"ndurman"
3.29999995231628,12,25,0,1,"trade"
4.44000005722046,12,3,0,0,"trade"
6.25,16,9,0,1,"profserv"
3.84999990463257,16,5,0,1,"trade"
6.17999982833862,14,9,1,1,"profserv"
2.91000008583069,11,1,1,0,"services"
6.25,16,2,1,0,"trade"
6.25,12,13,1,1,"profserv"
9.05000019073486,12,10,0,1,"construc"
11.1099996566772,12,30,0,1,"trade"
6.88000011444092,12,31,0,1,"profserv"
10,8,9,0,1,"construc"
3.04999995231628,12,10,1,1,"trade"
3,12,38,1,1,"services"
5.80000019073486,12,19,1,1,"ndurman"
4.09999990463257,16,5,1,1,"profserv"
6.15000009536743,12,35,1,0,"trade"
2.70000004768372,9,2,1,0,"trade"
2.75,13,1,1,0,"profserv"
3,16,19,1,1,"trade"
3,14,3,1,0,"profserv"
3.5,13,1,0,0,"trade"
8.10000038146973,12,38,1,1,"profserv"
3.75,18,1,0,0,"profserv"
5.82999992370605,8,36,1,1,"profserv"
3.5,8,4,0,0,"trade"
3.32999992370605,12,45,1,1,"trade"
4,14,22,1,0,"construc"
3.5,12,20,1,1,"profserv"
6.25,16,5,0,1,"ndurman"
2.95000004768372,8,15,1,1,"ndurman"
5.71000003814697,13,10,1,1,"trade"
3,9,3,1,0,"services"
9,12,38,0,1,"profserv"
8.32999992370605,15,33,0,1,"profserv"
3,11,2,0,0,"trade"
5.75,14,6,0,1,"trade"
6.76000022888184,12,19,0,1,"ndurman"
10,12,29,0,1,"profserv"
3,12,2,0,0,"construc"
3.5,18,3,1,0,"trcommpu"
3.25,12,4,0,0,"services"
4,12,10,1,0,"profserv"
2.92000007629395,12,4,1,0,"trade"
3.05999994277954,12,14,1,0,"trade"
3.20000004768372,12,15,1,1,"profserv"
3,14,17,1,1,"services"
18.1599998474121,16,29,0,1,"ndurman"
3.5,12,2,1,0,"trcommpu"
4.1100001335144,14,5,0,0,"profserv"
1.96000003814697,11,38,1,0,"services"
4.28999996185303,12,3,1,0,"trade"
3,10,47,0,0,"services"
6.44999980926514,12,7,0,1,"trade"
5.19999980926514,6,47,0,1,"construc"
4.5,13,23,1,0,"trade"
3.88000011444092,12,12,0,1,"trade"
3.45000004768372,10,11,1,0,"trade"
10.9099998474121,12,25,0,0,"trcommpu"
4.09999990463257,14,6,1,1,"services"
3,13,3,0,0,"trade"
5.90000009536743,12,14,0,1,"services"
18,18,13,1,0,"profserv"
4,12,9,0,0,"profserv"
3,12,1,0,0,"services"
3,12,11,1,1,"services"
2.90000009536743,8,49,1,0,"ndurman"
6.26000022888184,13,37,1,1,"profserv"
3.5,13,2,1,0,"trade"
4.59999990463257,14,7,1,1,"trade"
6,12,22,0,0,"trade"
5.57999992370605,16,1,0,1,"profserv"
4,12,43,1,1,"trcommpu"
6,16,2,0,0,"ndurman"
4.5,12,2,1,0,"construc"
2.92000007629395,14,1,0,0,"profserv"
4.32999992370605,18,1,0,0,"trade"
18.8899993896484,17,26,0,1,"profserv"
4.28000020980835,13,1,1,0,"trade"
4.57000017166138,14,37,1,1,"services"
6.25,15,12,1,1,"profserv"
